,scores,avg_rwds
700,18.0,14.57
701,12.0,14.56
702,11.0,14.59
703,7.0,14.54
704,10.0,14.62
705,14.0,14.67
706,15.0,14.68
707,11.0,14.72
708,15.0,14.77
709,16.0,14.72
710,8.0,14.72
711,16.0,14.77
712,10.0,14.78
713,11.0,14.86
714,11.0,14.92
715,19.0,14.94
716,18.0,14.9
717,19.0,14.93
718,15.0,14.86
719,13.0,14.89
720,12.0,14.91
721,13.0,14.91
722,13.0,14.92
723,17.0,14.96
724,12.0,14.95
725,15.0,15.0
726,10.0,14.94
727,13.0,15.0
728,14.0,14.98
729,15.0,15.01
730,14.0,15.03
731,14.0,15.02
732,17.0,15.06
733,11.0,15.07
734,17.0,15.14
735,12.0,15.15
736,13.0,15.22
737,15.0,15.29
738,17.0,15.31
739,8.0,15.32
740,10.0,15.39
741,19.0,15.36
742,18.0,15.31
743,13.0,15.29
744,11.0,15.25
745,15.0,15.31
746,17.0,15.29
747,14.0,15.28
748,18.0,15.28
749,8.0,15.27
750,16.0,15.4
751,16.0,15.45
752,20.0,15.48
753,8.0,15.44
754,16.0,15.51
755,20.0,15.5
756,16.0,15.45
757,13.0,15.42
758,19.0,15.46
759,15.0,15.39
760,21.0,15.38
761,18.0,15.31
762,15.0,15.3
763,18.0,15.31
764,14.0,15.21
765,19.0,15.21
766,18.0,15.16
767,19.0,15.15
768,14.0,15.14
769,12.0,15.14
770,19.0,15.14
771,15.0,15.12
772,15.0,15.11
773,13.0,15.1
774,19.0,15.11
775,13.0,15.08
776,14.0,15.16
777,8.0,15.17
778,19.0,15.28
779,17.0,15.22
780,18.0,15.16
781,16.0,15.1
782,13.0,15.09
783,16.0,15.1
784,15.0,15.11
785,18.0,15.18
786,20.0,15.17
787,20.0,15.11
788,17.0,15.09
789,8.0,15.12
790,11.0,15.25
791,18.0,15.26
792,17.0,15.28
793,10.0,15.28
794,13.0,15.25
795,17.0,15.33
796,15.0,15.39
797,6.0,15.38
798,17.0,15.48
799,9.0,15.35
800,17.0,15.42
801,15.0,15.45
802,6.0,15.5
803,15.0,15.61
804,15.0,15.54
805,15.0,15.54
806,19.0,15.56
807,16.0,15.53
808,10.0,15.57
809,16.0,15.54
810,13.0,15.51
811,17.0,15.58
812,18.0,15.57
813,17.0,15.55
814,13.0,15.53
815,15.0,15.51
816,21.0,15.54
817,12.0,15.46
818,18.0,15.47
819,15.0,15.49
820,12.0,15.53
821,14.0,15.61
822,17.0,15.71
823,16.0,15.73
824,17.0,15.72
825,9.0,15.68
826,16.0,15.7
827,11.0,15.68
828,17.0,15.72
829,17.0,15.74
830,13.0,15.72
831,18.0,15.75
832,18.0,15.75
833,18.0,15.76
834,18.0,15.76
835,19.0,15.74
836,20.0,15.69
837,17.0,15.69
838,18.0,15.69
839,15.0,15.69
840,7.0,15.7
841,14.0,15.79
842,16.0,15.81
843,9.0,15.79
844,17.0,15.87
845,13.0,15.91
846,16.0,15.93
847,14.0,15.95
848,17.0,16.01
849,21.0,15.94
850,21.0,15.89
851,19.0,15.82
852,16.0,15.8
853,15.0,15.79
854,15.0,15.84
855,15.0,15.89
856,13.0,15.95
857,17.0,16.03
858,12.0,16.04
859,14.0,16.0
860,14.0,16.03
861,17.0,16.07
862,16.0,16.1
863,8.0,16.16
864,14.0,16.28
865,14.0,16.32
866,17.0,16.41
867,18.0,16.46
868,14.0,16.46
869,12.0,16.46
870,17.0,16.47
871,14.0,16.53
872,14.0,16.57
873,14.0,16.58
874,16.0,16.57
875,21.0,16.61
876,15.0,16.53
877,19.0,16.5
878,13.0,16.45
879,11.0,16.46
880,12.0,16.5
881,15.0,16.52
882,14.0,16.6
883,17.0,16.7
884,22.0,16.7
885,17.0,16.62
886,14.0,16.6
887,18.0,16.63
888,20.0,16.65
889,21.0,16.65
890,12.0,16.59
891,20.0,16.64
892,17.0,16.63
893,7.0,16.62
894,21.0,16.66
895,23.0,16.57
896,14.0,16.51
897,16.0,16.56
898,4.0,16.41
899,16.0,16.56
900,20.0,16.58
